Territori,Població,Risc de rebrot,Incidència acumulada a 14 dies,Rt,Taxa confirmats per PCR/TA,Casos confirmats per PCR/TA,Taxa PCR/TA,PCR Fetes,TA Fets,% PCR/TA Positives,Vacunats 1a dosi,Vacunats 2a dosi
AMPOSTA,21.771,26,3215,092,1837,4,1.11157,164,78,183,118,257
BADALONA,223.906,196,17016,114,9290,208,2.09374,3.288,1.400,494,906,2.607
BALAGUER,18.028,116,18305,062,5547,10,1.50322,164,107,496,83,205
BANYOLES,21.128,254,26032,095,12779,27,3.12382,497,163,420,66,214
BARBERÀ DEL VALLÈS,32.970,475,35487,132,20625,68,3.24537,842,228,697,185,383
BARCELONA,1.647.581,239,20126,118,10852,1.788,2.22314,25.986,10.642,540,10.052,23.283
BLANES,39.749,339,21133,159,13585,54,1.91200,555,205,826,174,388
CALAFELL,25.743,50,3496,142,1942,5,1.62374,330,88,128,107,60
CAMBRILS,34.443,97,7549,127,3484,12,94939,222,105,458,176,324
CANET DE MAR,14.565,191,13045,141,4119,6,2.60899,291,89,189,38,89
CANOVELLES,17.181,321,40743,079,12805,22,2.86363,339,153,470,57,141
CASTELLAR DEL VALLÈS,24.196,189,17358,108,8679,21,3.04182,550,186,339,116,255
CASTELLDEFELS,65.113,307,27491,110,13515,88,2.42962,1.142,440,654,256,630
CERDANYOLA DEL VALLÈS,56.671,200,14822,132,8470,48,2.48275,965,442,385,346,487
CORNELLÀ DE LLOBREGAT,89.799,188,14477,129,6793,61,1.86639,1.249,427,419,453,1.071
EL MASNOU,23.691,74,11397,066,2955,7,2.18226,289,228,229,90,364
EL PRAT DE LLOBREGAT,65.054,133,14911,088,6302,41,1.87075,888,329,411,298,705
EL VENDRELL,37.347,119,11514,103,4284,16,1.57175,468,119,288,113,115
ESPARREGUERA,21.835,165,10076,170,5496,12,1.68995,252,117,346,105,187
ESPLUGUES DE LLOBREGAT,47.294,296,25162,116,12052,57,2.55635,872,337,541,270,558
FIGUERES,47.685,189,22229,084,8179,39,1.58331,484,271,596,196,637
GAVÀ,45.828,198,16802,116,9383,43,2.28027,675,370,447,354,458
GIRONA,104.830,252,23371,107,11638,122,2.01946,1.486,631,653,548,1.397
GRANOLLERS,62.680,214,22814,093,10370,65,2.34365,1.068,401,470,249,791
